u	v	similarity
16	4329	0.4949747468
16	4777	0.5129891760
16	6432	0.4216370214
16	6863	0.4242640687
16	7144	0.0755928946
16	7243	0.4780914437
16	7274	0.1154700538
16	7682	0.5129891760
16	8543	0.1195228609
16	8863	0.1195228609
16	8898	0.5196152423
17	205	0.5962847940
17	539	0.7100469468
17	846	0.6210590034
17	2721	0.5333333333
17	3036	0.6531972647
17	3214	0.6197797868
17	4045	0.6515837655
17	4126	0.6888467202
17	5628	0.4082482905
17	6248	0.6227991553
17	6652	0.6445033866
17	7134	0.1632993162
17	7155	0.5728918992
17	9291	0.6888467202
18	177	0.3423683940
18	634	0.3807498053
18	1215	0.0937614462
18	1264	0.3922322703
18	1999	0.5188745217
18	2464	0.1672484020
18	3471	0.1386750491
18	4894	0.4351426346
18	6667	0.4036036764
18	7228	0.4089304101
18	7882	0.3706246583
18	9337	0.3363363970
19	375	0.1336306210
19	1981	0.2857142857
19	2131	0.2452557358
19	2349	0.3706246583
19	3872	0.2672612419
19	4431	0.2004459314
19	4679	0.3241018618
19	4734	0.2362277956
19	5802	0.2760262237
19	7769	0.1833396994
19	8796	0.3450327797
19	9125	0.3401680257
19	9638	0.1428571429
20	2283	0.0796819073
20	3393	0.2108185107
20	4758	0.0898933150
20	4884	0.1777046633
20	5048	0.2981423970
20	5734	0.2581988897
20	6251	0.2070196678
20	6592	0.1333333333
20	6688	0.3230291412
20	7354	0.3038218101
20	7917	0.1951800146
20	9186	0.1490711985
20	9331	0.2876779809
20	9447	0.1333333333
21	637	0.4352857501
21	1817	0.1025978352
21	1983	0.5533715711
21	2545	0.4866642634
21	3691	0.0883021571
21	5960	0.3973597071
21	6159	0.4905114716
21	6243	0.5923488778
21	6378	0.5960395607
21	6502	0.5789473684
21	6662	0.6308932681
21	6834	0.6515837655
21	7727	0.6308932681
21	8067	0.7456011351
21	8320	0.5923488778
21	8742	0.5331139900
21	9838	0.5298129428
21	9850	0.1147078669
22	620	0.1290994449
22	1536	0.4677071733
22	1666	0.5163977795
22	1741	0.3162277660
22	3631	0.4264014327
22	4400	0.3162277660
22	5000	0.4518480571
22	5169	0.3340765524
22	5632	0.5892556510
22	7565	0.4244373438
22	8107	0.6240377208
22	8242	0.4330127019
22	8861	0.5613413994
22	9569	0.1336306210
22	9891	0.3015113446
23	4178	0.3380617019
23	4285	0.4260064336
23	4719	0.2000000000
23	5713	0.3651483717
23	6154	0.3726779962
23	6456	0.5533985905
23	8278	0.1581138830
23	9244	0.3380617019
23	9920	0.3726779962
24	439	0.5923488778
24	521	0.4954336943
24	910	0.3450327797
24	1193	0.4670993665
24	2871	0.1032795559
24	4108	0.4082482905
24	4694	0.3892494721
24	4986	0.4666666667
24	6508	0.1556997888
24	7462	0.1556997888
24	7481	0.5520524475
24	7584	0.1333333333
24	8155	0.3892494721
24	8798	0.4670993665
25	627	0.3571428571
25	1143	0.2223747950
25	1206	0.3065696697
25	1491	0.4285714286
25	1644	0.1611645928
25	2922	0.2417468892
25	3393	0.2727723628
25	4884	0.3065696697
25	5638	0.3340765524
25	5734	0.2672612419
25	5743	0.1709408647
25	6251	0.2142857143
25	6268	0.4291975376
26	746	0.5640760748
26	1373	0.4830458915
26	1688	0.6744532734
26	2685	0.4834937784
26	2895	0.7412493167
26	3980	0.6671243850
26	5487	0.4629100499
26	5721	0.1482498633
26	6081	0.5000000000
26	6242	0.6943650748
26	6743	0.4140393356
26	7186	0.6681531048
26	9450	0.6172133998
27	1115	0.4260064336
27	1297	0.4031385986
27	1352	0.1543033500
27	1386	0.3535533906
27	2139	0.3600411499
27	2899	0.3535533906
27	3462	0.3726779962
27	3836	0.3333333333
27	3860	0.4216370214
27	6892	0.1217161239
27	6968	0.4008918629
27	7386	0.2457365936
27	7460	0.4008918629
27	8092	0.1889822365
27	9100	0.2773500981
27	9607	0.3513641845
27	9608	0.4260064336
28	528	0.4830458915
28	610	0.1032795559
28	1415	0.6694386814
28	1516	0.5715476066
28	1905	0.5449492609
28	2351	0.5012804118
28	3563	0.5715476066
28	4973	0.5962847940
28	4995	0.5520524475
28	6391	0.1380131119
28	6520	0.5477225575
28	6562	0.5217491947
28	7504	0.6085806195
28	8663	0.0912870929
29	137	0.3540052162
29	1275	0.5262013606
29	1845	0.3343669275
29	2942	0.4914731872
29	4028	0.0889108449
29	4086	0.0737209781
29	5157	0.3720805503
29	5643	0.5523681767
29	6190	0.3730019233
29	6460	0.3336230625
29	6838	0.3540052162
29	7418	0.5275043787
29	7816	0.3009646327
29	7977	0.4089304101
29	8164	0.3230291412
29	8166	0.5897678246
29	8248	0.5618006477
29	8328	0.0982946374
29	8632	0.4095141797
29	9103	0.2637521894
29	9180	0.4845437119
29	9740	0.3611575593
30	154	0.3317444013
30	1526	0.2313259728
30	1680	0.3996690502
30	1858	0.1076763804
30	2229	0.4769415267
30	2447	0.2780192187
30	3442	0.3230291412
30	3886	0.4048204524
30	4382	0.3009646327
30	6072	0.3009646327
30	6128	0.2275078776
30	6820	0.2153527608
30	7106	0.2528608687
30	7556	0.2514778454
30	7672	0.1734944796
30	7936	0.3009646327
30	8335	0.3478260870
30	8375	0.2608695652
30	8380	0.3127716211
30	8976	0.3381815040
30	9354	0.3310610960
30	9514	0.2514778454
31	1972	0.2727723628
31	2614	0.4769104832
31	2826	0.3571428571
31	3285	0.1296407447
31	3602	0.3741657387
31	3765	0.3340765524
31	4111	0.3450327797
31	5510	0.3418817294
31	6401	0.4008918629
31	6665	0.4962916670
31	7979	0.1428571429
31	8451	0.5832118435
31	8735	0.3889222341
32	36	0.5716619505
32	92	0.6063390626
32	923	0.4264014327
32	1047	0.4576043153
32	1293	0.5976143047
32	2651	0.1421338109
32	2965	0.4714045208
32	3632	0.4743416490
32	5151	0.4001633653
32	7238	0.3651483717
32	7591	0.5270462767
32	7749	0.5000000000
32	7862	0.4576043153
32	8708	0.4001633653
32	8780	0.4576043153
32	8952	0.1360827635
32	9253	0.3535533906
33	193	0.6666666667
33	562	0.5735393347
33	1570	0.3162277660
33	1729	0.5161854012
33	2500	0.5625000000
33	3120	0.4375000000
33	3383	0.3952847075
33	3912	0.4244373438
33	4000	0.5393193716
33	5484	0.4522670169
33	6309	0.5590169944
33	8027	0.1386750491
33	8122	0.5547001962
33	8237	0.5161854012
33	9333	0.5051814855
34	699	0.3149703942
34	1129	0.5144957554
34	1650	0.2749859705
34	2433	0.2858309752
34	3031	0.3149703942
34	3227	0.3162277660
34	3228	0.3989156678
34	4768	0.1111111111
34	5475	0.3118047822
34	5503	0.3638034376
34	6831	0.3099937033
34	9316	0.2672612419
34	9378	0.5000000000
34	9393	0.2434322478
34	9437	0.2948839123
34	9679	0.1421338109
34	9717	0.3402069087
35	298	0.4338609156
35	1582	0.3872983346
35	2508	0.4041451884
35	2682	0.1084652289
35	2860	0.4500000000
35	3008	0.1195228609
35	3954	0.0953462589
35	4002	0.2988071523
35	4518	0.4000000000
35	4826	0.4045199175
35	5336	0.3535533906
35	5437	0.3227486122
35	6101	0.3872983346
35	6324	0.5129891760
35	6768	0.4518480571
35	6955	0.5595028849
35	8111	0.5270462767
35	8203	0.1118033989
35	9267	0.4242640687
36	92	0.5823232316
36	421	0.3656362121
36	677	0.1252448582
36	923	0.4387634545
36	1196	0.2925089697
36	1293	0.5329480401
36	2556	0.3241018618
36	2965	0.4850712501
36	3201	0.4001633653
36	3632	0.4338609156
36	4959	0.5381382352
36	6197	0.4900980294
36	7238	0.4383570038
36	7591	0.4880935301
36	8708	0.5294117647
37	780	0.4216370214
37	1104	0.4616902584
37	3539	0.4382299106
37	3577	0.1054092553
37	3584	0.1035098339
37	3623	0.0803219329
37	4090	0.2988071523
37	4122	0.4152273993
37	4396	0.4432963207
37	5180	0.3100868365
37	5244	0.2797514425
37	5668	0.2500000000
37	5967	0.1054092553
37	6415	0.4082482905
37	6890	0.2927700219
37	7915	0.3401680257
37	8180	0.4472135955
37	8749	0.3000000000
37	9121	0.2390457219
38	131	0.1240347346
38	1593	0.2964997267
38	2316	0.3181423815
38	3081	0.4160251472
38	4326	0.3508232077
38	5337	0.5204834388
38	6089	0.5012804118
38	6681	0.3922322703
38	6789	0.1210455065
38	8199	0.3144854510
38	8265	0.3466876226
38	9568	0.3817708578
39	691	0.3826918986
39	900	0.2691909510
39	2217	0.4113547021
39	2717	0.4307055216
39	2783	0.3540052162
39	3828	0.4340573661
39	4270	0.2331262021
39	4886	0.3649002246
39	5806	0.2819629507
39	5832	0.4914731872
39	5978	0.4237017131
39	6054	0.4054653794
39	6100	0.4458225701
39	7790	0.0932504808
39	7942	0.2313259728
39	8491	0.3815778004
39	8633	0.4045773899
39	8902	0.3913043478
39	8922	0.3649002246
39	9055	0.1318760947
39	9212	0.3336230625
40	283	0.2700308624
40	467	0.3857583749
40	862	0.2594372608
40	1580	0.5744682204
40	1630	0.2519763153
40	1798	0.2227177016
40	1981	0.3214285714
40	1997	0.3988620176
40	2046	0.2700308624
40	2635	0.2592814894
40	3417	0.4391550328
40	3963	0.3086066999
40	3978	0.0874817765
40	4163	0.3105295017
40	4197	0.4374088826
40	4323	0.3223291856
40	4679	0.2916916756
40	4734	0.3307189139
40	4865	0.2338535867
40	4958	0.0370624658
40	5019	0.2592814894
40	5249	0.2857142857
40	5318	0.2760262237
40	5345	0.2820380374
40	5711	0.3241018618
40	5921	0.2223747950
40	5933	0.3214285714
40	6282	0.2672612419
40	6552	0.0714285714
40	6676	0.0741249317
40	7146	0.5291502622
40	7274	0.3105295017
40	7359	0.3674842076
40	7498	0.0690065559
40	7769	0.4354317861
40	7859	0.3418817294
40	7989	0.2760262237
40	8011	0.3149703942
40	8070	0.3571428571
40	8106	0.3622308382
40	8571	0.2415229458
40	8675	0.2594372608
40	8766	0.2672612419
40	8796	0.2415229458
40	8832	0.3214285714
40	8852	0.2519763153
40	8965	0.0583211844
40	9043	0.2142857143
40	9060	0.3674842076
40	9061	0.2014557410
40	9111	0.1781741613
40	9119	0.3571428571
40	9383	0.3464674336
40	9582	0.2594372608
40	9921	0.4179586594
41	482	0.2631806780
41	486	0.3631365196
41	567	0.3860936713
41	676	0.2730094531
41	993	0.2253744679
41	1283	0.3256694736
41	2837	0.2503130872
41	3355	0.1126872340
41	3798	0.1501878523
41	3985	0.1815682598
41	4928	0.2332847374
41	6496	0.3175536744
41	6925	0.2760262237
41	7131	0.4234048992
41	7292	0.3256694736
41	7347	0.2253744679
41	8978	0.3086066999
41	9081	0.3380617019
41	9113	0.3026137663
41	9151	0.2618614683
42	85	0.3415650255
42	387	0.4008918629
42	587	0.0916698497
42	1068	0.5459208337
42	1277	0.4225771274
42	1510	0.5211062503
42	2096	0.3818813079
42	2132	0.3418817294
42	2167	0.2620712092
42	3601	0.4913036844
42	4215	0.4536323544
42	4563	0.4454354032
42	4733	0.4029114820
42	4921	0.3030457634
42	5063	0.4686201695
42	5592	0.3674842076
42	6113	0.2750095491
42	6124	0.4391550328
42	6312	0.5361109642
42	7119	0.3415650255
42	7597	0.2727723628
42	8047	0.0916698497
42	8408	0.1048284837
42	8841	0.5400617249
42	9178	0.3795360576
42	9310	0.3563483225
42	9916	0.0975900073
43	1580	0.3181423815
43	1585	0.2162952282
43	1880	0.3785166493
43	2635	0.2225659536
43	2799	0.1383428928
43	3872	0.2294157339
43	3888	0.1081476141
43	3963	0.3311330893
43	4323	0.2075143392
43	4734	0.2433321317
43	6769	0.2369395511
43	8106	0.2391824366
43	8766	0.1720618004
43	8852	0.3785166493
43	9013	0.3077935056
43	9043	0.2452557358
43	9632	0.3102266937
43	9652	0.1052631579
44	678	0.5039526307
44	1039	0.4914731872
44	1434	0.0907218423
44	2871	0.3299831646
44	3061	0.4974683382
44	3077	0.4780914437
44	3550	0.1490711985
44	4408	0.5716619505
44	4843	0.2519763153
44	5081	0.3922322703
44	5187	0.4583333333
44	6995	0.4919098582
44	7696	0.3779644730
44	8425	0.4714045208
44	8530	0.5037397679
44	9217	0.4743416490
44	9444	0.5106882309
45	205	0.2611164839
45	602	0.1507556723
45	621	0.3344968040
45	2721	0.3113995777
45	3826	0.0731272424
45	6248	0.4545454545
45	6513	0.1818181818
45	6652	0.2508726030
45	7309	0.1206045378
45	9292	0.4029114820
46	588	0.2672612419
46	2276	0.2223747950
46	2906	0.1611645928
46	3065	0.1482498633
46	3118	0.1792842914
46	3894	0.2760262237
46	5373	0.2958039892
46	6783	0.2112885637
46	6892	0.1380131119
46	7376	0.2417468892
46	8768	0.1889822365
46	8937	0.1259881577
46	9605	0.1380131119
47	589	0.5232166436
47	942	0.1011443475
47	1336	0.1345345588
47	2353	0.5457051563
47	2689	0.5292561240
47	3099	0.4537426065
47	3610	0.5007733957
47	4112	0.3889222341
47	5530	0.5294117647
47	5797	0.5170876900
47	5798	0.5134360308
47	5812	0.5562939112
47	5943	0.3834824944
47	7074	0.1112829768
47	8594	0.4763305116
47	9092	0.4880935301
48	812	0.4974683382
48	1080	0.4499770426
48	1334	0.5276448530
48	1947	0.5142594772
48	2356	0.6067798762
48	4108	0.1906925178
48	5680	0.5850179393
48	8618	0.5685352436
48	9156	0.6067798762
48	9782	0.3015113446
49	250	0.0796819073
49	357	0.1210455065
49	1829	0.1690308509
49	2112	0.3297198571
49	2148	0.2519763153
49	3111	0.2061965247
49	3355	0.3380617019
49	3477	0.1091089451
49	4040	0.1860968421
49	4294	0.3026137663
49	4362	0.2420910131
49	4573	0.3289758475
49	5105	0.3380617019
49	5237	0.2571722499
49	5401	0.3026137663
49	5715	0.2817180849
49	6230	0.3825184261
49	6867	0.2771739469
49	8649	0.3423683940
49	8794	0.1058512248
50	882	0.4629100499
50	1242	0.3517632353
50	1590	0.4622501635
50	1892	0.5443310540
50	3167	0.2434322478
50	4279	0.3888888889
50	4407	0.2948839123
50	5248	0.3012320380
50	6074	0.4762896722
50	6375	0.4444444444
50	6459	0.2614881802
50	6495	0.3333333333
50	7551	0.1421338109
50	8332	0.4409585518
50	9561	0.4124789557
50	9669	0.2519763153
50	9940	0.4974683382
51	756	0.3813850357
51	893	0.1556997888
51	1518	0.5222329679
51	1927	0.4351941399
51	2908	0.3636363636
51	5354	0.3481553119
51	6281	0.5393598900
51	6912	0.1556997888
51	8213	0.3947710170
51	8225	0.2417468892
52	1152	0.4664076233
52	1685	0.2300894967
52	1709	0.3699700367
52	1771	0.2504897164
52	3324	0.3529411765
52	3550	0.2300894967
52	4022	0.2690691176
52	4858	0.2782074420
52	5271	0.3102526140
52	5456	0.3656362121
52	5827	0.4200840252
52	6958	0.3894904189
52	6992	0.2504897164
52	7641	0.2352941176
52	8366	0.3542459542
52	9606	0.1143323901
53	589	0.3547874376
53	2154	0.3892494721
53	2689	0.3947710170
53	5119	0.1611645928
53	5388	0.4522670169
53	5797	0.3856946079
53	5798	0.5222329679
53	6124	0.1556997888
53	9092	0.5393598900
53	9756	0.5017452060
54	774	0.1084652289
54	1549	0.2000000000
54	1824	0.3626592604
54	2381	0.1838036555
54	2409	0.4041451884
54	2493	0.3554093267
54	2841	0.3585685828
54	3066	0.1348399725
54	3960	0.3328201177
54	3994	0.3721042038
54	4024	0.3913118961
54	4272	0.0582222510
54	4481	0.1240347346
54	7500	0.0877058019
54	7939	0.3590924232
54	8033	0.3401680257
54	8827	0.1195228609
54	9076	0.2846049894
54	9528	0.2477168472
55	591	0.3268602252
55	1067	0.4000661321
55	1083	0.1081476141
55	1569	0.0942809042
55	2480	0.4844813951
55	3192	0.3333333333
55	3206	0.3162277660
55	3651	0.3810003810
55	4222	0.3692744729
55	4409	0.3888888889
55	4512	0.3233808334
55	5294	0.3779644730
55	6106	0.4522670169
55	6217	0.4169751944
55	7740	0.2703690352
55	8359	0.2842676218
55	8705	0.3785166493
56	323	0.2964997267
56	328	0.6139406135
56	345	0.4003203845
56	460	0.1538461538
56	1794	0.5665288229
56	1876	0.3344968040
56	2881	0.4576043153
56	5056	0.4576043153
56	7566	0.5726562867
56	7714	0.4453993341
56	7900	0.4803844614
56	8723	0.4003203845
57	64	0.2853908965
57	139	0.3038218101
57	1395	0.1048284837
57	1425	0.4279604925
57	1906	0.5321811564
57	2918	0.3396831102
57	3252	0.3329560459
57	3954	0.3763089045
57	4465	0.0980580676
57	4539	0.4529108137
57	5754	0.5283524653
57	6167	0.4385290097
57	6479	0.5316095331
57	7063	0.3544587785
57	7121	0.3946761087
57	7189	0.5635445125
57	7398	0.3962969620
57	7520	0.5581563057
57	7808	0.3144854510
57	7880	0.4403524230
57	8172	0.5913123960
57	8381	0.3668996929
57	8442	0.3263569759
57	9454	0.2773500981
57	9797	0.4050957468
58	119	0.1252448582
58	1442	0.5477225575
58	1611	0.2981423970
58	1619	0.3450327797
58	2213	0.4140393356
58	4193	0.3333333333
58	4377	0.1252448582
58	4565	0.4898979486
58	6062	0.4041451884
58	7265	0.6000000000
58	7502	0.6000000000
58	8154	0.3464101615
58	8628	0.5504818826
58	8734	0.3333333333
59	1398	0.1543033500
59	1410	0.4677071733
59	1666	0.3450327797
59	3519	0.1114556425
59	3631	0.3988620176
59	4066	0.1611645928
59	6187	0.2142857143
59	6807	0.2592814894
59	7565	0.4537426065
59	8047	0.1296407447
59	8242	0.3086066999
59	8500	0.4629100499
59	8968	0.3450327797
60	268	0.3975231960
60	371	0.2057377999
60	636	0.2981423970
60	1038	0.0993807990
60	1350	0.3175264481
60	2146	0.4330127019
60	2335	0.4114755999
60	2436	0.2901294266
60	2590	0.4012861770
60	2687	0.2886751346
60	2973	0.4567734398
60	3068	0.4061811972
60	3164	0.3973597071
60	3787	0.4270084101
60	4964	0.4114755999
60	5152	0.3734080224
60	5253	0.0769800359
60	5508	0.4330127019
60	5609	0.2571722499
60	7282	0.4200840252
60	7371	0.3849001795
60	7999	0.0933520056
60	8029	0.3086066999
60	8839	0.2484519975
60	9254	0.4690176471
60	9499	0.4536092116
61	1368	0.0745355992
61	1424	0.4216370214
61	1770	0.3465516400
61	1781	0.4909902530
61	1802	0.5107539185
61	2074	0.5883484054
61	2332	0.3465516400
61	2428	0.4455663943
61	4130	0.4214636152
61	4227	0.4082482905
61	4236	0.4583333333
61	4605	0.5106882309
61	4758	0.6751356018
61	5171	0.4364357805
61	5346	0.4082482905
61	5920	0.0833333333
61	5965	0.4364357805
61	6032	0.4743416490
61	6742	0.4743416490
61	6971	0.0502518908
61	7412	0.5095246654
61	8039	0.5095246654
61	8062	0.4564354646
62	112	0.5330017909
62	361	0.5913123960
62	600	0.6668313367
62	2111	0.4403855061
62	2787	0.6358507845
62	3588	0.0765839581
62	3910	0.7150969419
62	4608	0.7035264707
62	5218	0.5142594772
62	5615	0.6358507845
62	6141	0.5869391857
62	6193	0.5687964590
62	6583	0.7156264473
62	6671	0.4797016118
62	7043	0.5863019700
62	7134	0.1348399725
62	7154	0.4045199175
62	8927	0.1348399725
62	9656	0.4797016118
62	9786	0.6055300708
62	9908	0.4558423058
63	95	0.3849001795
63	642	0.4865336328
63	907	0.3233808334
63	2575	0.3928371007
63	3266	0.4622501635
63	8505	0.5345224838
63	8954	0.1721325932
63	9488	0.4166666667
64	139	0.3757345747
64	380	0.3619613830
